miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-let-7a	954	954	954	954	954	954	954	952	948	946	13.6378686362829
hsa-let-7b	954	954	954	954	954	946	925	883	809	724	10.1376925974355
hsa-let-7c	954	954	954	954	954	946	913	841	708	478	9.02577270292764
hsa-let-7d	954	954	954	954	954	954	953	942	918	858	10.761164216753
hsa-let-7e	869	771	765	763	759	741	716	679	598	441	7.33348868045014
hsa-let-7f	954	954	954	954	954	954	950	944	929	882	11.1088607027294
hsa-let-7g	954	954	954	954	954	950	948	943	935	910	11.3990330546914
hsa-let-7i	954	954	954	954	954	954	953	950	936	888	11.0042631506353
hsa-miR-1	954	954	954	918	510	110	18	8	5	1	4.14888611691946
hsa-miR-100	954	954	954	930	815	682	607	550	493	437	8.27044965597236
hsa-miR-101	954	954	954	954	954	951	926	862	666	352	8.61843499477592
hsa-miR-103	954	954	954	954	954	954	954	953	952	938	11.4798789073727
hsa-miR-105	953	951	947	902	634	203	60	11	1	0	4.3879763268633
hsa-miR-106a+hsa-miR-17	954	954	954	954	954	953	952	920	859	711	9.88614349136007
hsa-miR-106b	954	954	954	954	954	954	952	948	935	876	11.0638556120965
hsa-miR-107	954	954	954	953	952	944	901	780	539	286	8.23331021623877
hsa-miR-10a	954	954	954	954	951	880	736	615	476	322	8.05016002738538
hsa-miR-10b	954	954	954	954	902	585	326	180	87	40	5.73160839120786
hsa-miR-1178	954	950	930	779	318	99	59	41	19	7	3.854762736294
hsa-miR-1179	954	954	954	954	951	791	106	0	0	0	5.42241778217697
hsa-miR-1180	954	954	951	925	764	389	136	34	3	1	4.87251575471251
hsa-miR-1181	954	954	954	939	739	141	4	0	0	0	4.40464407132867
hsa-miR-1182	954	952	924	779	314	49	2	0	0	0	3.65786112877387
hsa-miR-1183	954	946	915	757	293	41	1	0	0	0	3.58657109335266
hsa-miR-1185	954	948	913	719	202	29	5	0	0	0	3.45944948272433
hsa-miR-1197	954	931	840	513	61	0	0	0	0	0	2.95042649487106
hsa-miR-1200	954	953	948	897	539	102	10	1	0	0	4.1051118595587
hsa-miR-1203	954	954	954	945	698	126	5	0	0	0	4.34857663119334
hsa-miR-1204	954	950	917	708	159	5	0	0	0	0	3.37217008065205
hsa-miR-1205	954	953	951	924	768	399	120	19	1	0	4.85318572683004
hsa-miR-1206	954	954	954	954	952	809	221	4	0	0	5.55472163967074
hsa-miR-122	954	954	954	953	834	174	13	8	7	7	4.61072193287674
hsa-miR-1225-3p	954	954	954	951	887	484	73	4	0	0	5.02650283727082
hsa-miR-1226	954	954	954	954	850	257	9	0	0	0	4.67216290632809
hsa-miR-1227	954	952	937	845	479	79	6	1	0	0	3.95183813764813
hsa-miR-1228	953	950	913	720	222	13	0	0	0	0	3.45759289905116
hsa-miR-1231	953	947	934	822	375	54	0	0	0	0	3.78582395308882
hsa-miR-1233	953	944	889	620	106	1	0	0	0	0	3.19523492601878
hsa-miR-1236	954	950	939	812	279	12	1	0	0	0	3.63769828122117
hsa-miR-124	954	952	940	855	356	68	29	15	8	2	3.87720909513652
hsa-miR-1243	954	954	954	946	728	115	3	0	0	0	4.37787501109779
hsa-miR-1244	954	954	954	950	868	277	7	0	0	0	4.7147902166136
hsa-miR-1245	954	954	946	869	364	23	0	0	0	0	3.79877140727151
hsa-miR-1246	954	954	954	954	954	954	952	901	661	416	9.03414736970858
hsa-miR-1247	953	942	871	600	132	18	6	1	0	0	3.19374117460195
hsa-miR-1248	954	954	952	929	634	109	2	0	0	0	4.24633651836904
hsa-miR-1250	953	951	940	849	386	39	3	0	0	0	3.81014316271179
hsa-miR-1251	954	951	947	909	612	83	6	0	0	0	4.16371433305333
hsa-miR-1252	954	954	953	930	657	134	5	0	0	0	4.29284689588898
hsa-miR-1253	954	954	954	954	910	287	6	0	0	0	4.78653403078613
hsa-miR-1254	954	953	949	902	679	214	41	4	0	0	4.41419155406591
hsa-miR-1255a	954	952	947	894	527	82	2	0	0	0	4.08422976316987
