miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	V12
hsa-let-7a	167	167	167	167	167	167	167	167	165	165	12.5975182095017
hsa-let-7b	167	167	167	167	167	162	144	115	77	50	8.07942823246775
hsa-let-7c	167	167	167	167	167	162	141	111	77	52	7.97554530607468
hsa-let-7d	167	167	167	167	167	167	167	161	151	130	10.1564717952271
hsa-let-7e	119	57	52	51	49	43	40	34	23	13	2.42796205014478
hsa-let-7f	167	167	167	167	167	167	167	165	158	151	10.8315308498418
hsa-let-7g	167	167	167	167	167	167	167	164	161	157	11.4439984595309
hsa-let-7i	167	167	167	167	167	167	166	165	163	149	10.4415171173012
hsa-miR-1	167	167	167	164	103	24	6	3	1	0	4.28221646794854
hsa-miR-100	167	167	167	153	101	45	24	10	5	4	4.56835220532722
hsa-miR-101	167	167	167	167	167	167	164	154	133	93	9.05930980834558
hsa-miR-103	167	167	167	167	167	167	167	166	166	164	11.339503474424
hsa-miR-105	166	166	164	150	90	15	1	0	0	0	4.01235781195948
hsa-miR-106a+hsa-miR-17	167	167	167	167	167	167	167	166	165	161	11.083597596783
hsa-miR-106b	167	167	167	167	167	167	166	166	166	159	11.5103762887075
hsa-miR-107	167	167	167	166	165	162	144	119	77	36	7.80553411212819
hsa-miR-10a	167	167	167	167	164	118	54	31	15	8	5.8876515439017
hsa-miR-10b	167	167	167	167	144	38	8	0	0	0	4.63067933660249
hsa-miR-1178	167	166	163	138	45	5	1	0	0	0	3.6435919730271
hsa-miR-1179	167	167	167	167	167	139	17	0	0	0	5.39590899868084
hsa-miR-1180	167	167	165	149	85	21	3	1	0	0	4.04436419676954
hsa-miR-1181	167	167	167	163	113	19	0	0	0	0	4.25898854288139
hsa-miR-1182	167	167	158	129	40	8	0	0	0	0	3.50305652195023
hsa-miR-1183	167	165	160	139	49	8	0	0	0	0	3.60950348046258
hsa-miR-1185	167	166	150	109	23	0	0	0	0	0	3.20340152654491
hsa-miR-1197	167	160	147	85	13	0	0	0	0	0	2.93701482284703
hsa-miR-1200	167	167	164	144	70	13	3	0	0	0	3.84438836249904
hsa-miR-1203	167	167	167	165	138	29	2	0	0	0	4.49810262538695
hsa-miR-1204	167	167	162	122	24	1	0	0	0	0	3.35335322316956
hsa-miR-1205	167	167	167	166	156	110	43	6	1	0	5.42698051501247
hsa-miR-1206	167	167	167	167	166	142	40	2	0	0	5.59278374498391
hsa-miR-122	167	167	167	166	146	21	0	0	0	0	4.48017548669784
hsa-miR-1225-3p	167	167	167	167	161	112	23	0	0	0	5.26007510739997
hsa-miR-1226	167	167	167	167	155	43	0	0	0	0	4.70480740377113
hsa-miR-1227	167	166	165	142	81	12	0	0	0	0	3.88912984652339
hsa-miR-1228	166	165	150	109	28	4	0	0	0	0	3.20691944886302
hsa-miR-1231	167	162	157	130	54	8	0	0	0	0	3.55123820265645
hsa-miR-1233	167	165	148	100	17	0	0	0	0	0	3.1012398283663
hsa-miR-1236	167	166	163	141	34	2	0	0	0	0	3.54538987890243
hsa-miR-124	167	167	166	157	68	13	6	2	1	0	3.95006822270073
hsa-miR-1243	167	167	167	167	125	22	0	0	0	0	4.39012404903616
hsa-miR-1244	167	167	167	167	153	52	1	0	0	0	4.73470203188432
hsa-miR-1245	167	167	166	157	76	4	0	0	0	0	3.88599951864635
