miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-let-7a	25	25	25	25	25	25	25	24	24	22	12.3697600344991
hsa-let-7b	25	25	25	25	25	23	23	19	13	11	8.23622783451033
hsa-let-7c	25	25	25	25	25	24	22	19	14	8	8.28405881419354
hsa-let-7d	25	25	25	25	25	25	24	23	18	15	9.3391849352489
hsa-let-7e	24	20	20	20	20	20	20	19	17	9	7.44379620842902
hsa-let-7f	25	25	25	25	25	25	23	22	20	16	9.74574630591397
hsa-let-7g	25	25	25	25	25	23	22	22	20	19	9.78607448711113
hsa-let-7i	25	25	25	25	25	25	25	24	20	17	9.82204380216513
hsa-miR-1	25	25	25	25	10	4	0	0	0	0	4.02832732202986
hsa-miR-100	25	25	25	24	23	19	17	14	13	11	8.3936074222363
hsa-miR-101	25	25	25	25	25	25	25	21	15	5	8.25211491391133
hsa-miR-103	25	25	25	25	25	25	25	25	25	24	11.3596299635262
hsa-miR-105	25	25	25	25	18	4	2	0	0	0	4.38879968772993
hsa-miR-106a+hsa-miR-17	25	25	25	25	25	25	25	25	22	19	9.47422848820562
hsa-miR-106b	25	25	25	25	25	25	25	25	25	23	10.8649710057709
hsa-miR-107	25	25	25	25	25	25	24	22	15	7	8.24843350653859
hsa-miR-10a	25	25	25	25	25	23	21	16	12	6	7.82765800486633
hsa-miR-10b	25	25	25	25	23	14	6	4	0	0	5.33127624573203
hsa-miR-1178	25	25	25	21	5	2	1	1	1	1	3.87917317878958
hsa-miR-1179	25	25	25	25	25	20	1	0	0	0	5.30766325181301
hsa-miR-1180	25	25	25	25	21	15	7	4	1	1	5.48539981762275
hsa-miR-1181	25	25	25	25	18	0	0	0	0	0	4.21766906563846
hsa-miR-1182	25	25	24	20	7	1	0	0	0	0	3.60839009320804
hsa-miR-1183	25	25	24	19	10	0	0	0	0	0	3.47703994300379
hsa-miR-1185	25	25	22	17	4	0	0	0	0	0	3.17734298146558
hsa-miR-1197	25	25	23	12	0	0	0	0	0	0	2.90624399265259
hsa-miR-1200	25	25	25	23	11	1	0	0	0	0	3.88993920420967
hsa-miR-1203	25	25	25	25	18	2	0	0	0	0	4.30206599662291
hsa-miR-1204	25	25	24	17	3	0	0	0	0	0	3.20390853856703
hsa-miR-1205	25	25	24	23	20	8	0	0	0	0	4.55203553477226
hsa-miR-1206	25	25	25	25	25	21	5	0	0	0	5.49172179916778
hsa-miR-122	25	25	25	25	24	10	7	5	5	5	6.0962622578092
hsa-miR-1225-3p	25	25	25	25	20	7	0	0	0	0	4.56037137119253
hsa-miR-1226	25	25	25	25	21	9	0	0	0	0	4.68748471288495
hsa-miR-1227	25	25	24	21	10	1	0	0	0	0	3.73433251671494
hsa-miR-1228	25	25	25	22	3	0	0	0	0	0	3.46829336706346
hsa-miR-1231	25	25	24	20	10	0	0	0	0	0	3.76279039691486
hsa-miR-1233	25	25	24	15	0	0	0	0	0	0	3.07649282449292
hsa-miR-1236	25	25	25	21	5	0	0	0	0	0	3.61130787476975
hsa-miR-124	25	25	25	20	5	0	0	0	0	0	3.54785385758444
hsa-miR-1243	25	25	25	25	14	1	0	0	0	0	4.11883393012232
hsa-miR-1244	25	25	25	25	22	7	0	0	0	0	4.6776130707085
hsa-miR-1245	25	25	25	22	8	0	0	0	0	0	3.76029612800491
hsa-miR-1246	25	25	25	25	25	25	25	22	16	9	8.70680907094269
hsa-miR-1247	25	24	20	11	3	0	0	0	0	0	2.78520960507324
hsa-miR-1248	25	25	25	24	16	3	0	0	0	0	4.1278258262633
hsa-miR-1250	25	25	24	19	8	0	0	0	0	0	3.58518277885857
hsa-miR-1251	25	25	25	25	16	1	0	0	0	0	4.20107554100103
hsa-miR-1252	25	25	25	24	15	1	0	0	0	0	4.06955729889209
hsa-miR-1253	25	25	25	25	22	3	0	0	0	0	4.46482456075773
hsa-miR-1254	25	25	25	22	15	1	0	0	0	0	4.0246040126088
hsa-miR-1255a	25	25	25	23	14	2	0	0	0	0	4.04772315383185
hsa-miR-1256	25	25	25	20	3	0	0	0	0	0	3.40915741934758
hsa-miR-1257	25	25	24	20	3	0	0	0	0	0	3.35119594226424
hsa-miR-1258	25	23	20	10	0	0	0	0	0	0	2.59501355962763
hsa-miR-125a-3p	25	25	25	25	25	25	24	20	14	1	7.78774727314185
hsa-miR-125a-5p	25	25	25	25	25	25	23	23	22	22	10.4202075067019
hsa-miR-125b	25	25	25	25	25	23	21	19	17	12	8.8492383876868
hsa-miR-126	25	25	25	25	25	21	17	13	8	1	6.99753160415547
